FLUXO ATUARIAL   -   CIVIL   -   PLANO PREVIDENCIÁRIO   -   BENEFÍCIOS AVALIADOS EM REGIME FINANCEIRO DE CAPITALIZAÇÃO   -   GERAÇÃO ATUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES PRELIMINARES;;;;;CONTRIBUIÇÕES FUTURAS DE APOSENTADOS  E PENSIONISTAS -  BENEFÍCIOS CONCEDIDOS;;;;;;;CONTRIBUIÇÕES FUTURAS DO ENTE - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIBUIÇÕES FUTURAS DOS ATIVOS - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIB. FUT. APOSENTADOS - BENEF. A CONCEDER;;;;;CONTRIB. FUT. PENSIONISTAS - BENEF. A CONCEDER;;;;;;OUTRAS RECEITAS - BENEF. A CONCEDER;;;;TOTAL;ENCARGOS - BENEFÍCIOS CONCEDIDOS;;;;;;;ENCARGOS - BENEFÍCIOS A CONCEDER;;;;;;;;;;TOTAL;RESULTADOS;;;;
100101;100201;100301;100401;109001;111000;111101;111201;111301;111401;112000;119900;121000;121100;121200;121300;121400;121500;121600;121700;122000;122100;122200;122300;122400;122500;122600;122700;123000;123100;123200;123300;123400;124000;124100;124200;124300;124400;124500;129000;130101;130201;139901;190000;210000;211001;212001;213001;214001;215001;219901;220000;221000;222000;223000;224000;225000;226000;227000;229000;239901;240000;250001;260001;270001;280001;290001
Instante;Ano;Taxa de Juros (%);Fator de Desconto;Base de Cálculo da Contribuição Normal;Benefícios Concedidos - Contribuições dos Aposentados;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Aposentadorias Programadas;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Aposentadorias Especiais de Professores;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Outras Aposentadorias Especiais;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Aposentadorias por Invalidez;Benefícios Concedidos - Contribuições  dos Pensionistas;Benefícios Concedidos - Compensação Previdenciária a Receber;Benefícios a Conceder - Contribuições do Ente;Benefícios a Conceder - Contribuições Futuras do Ente  - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras do Ente  - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras do Ente  - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras do Ente  - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições Futuras do Ente  - Pensões Por Morte de Servidores em Atividade;Benefícios a Conceder - Contribuições Futuras do Ente  - Pensões Por Morte de Aposentados;Benefícios a Conceder - Contribuições Futuras do Ente  -  Outros Benefícios e Auxílios;Benefícios a Conceder - Contribuições dos Segurados Ativos;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos  - Pensões Por Morte de Segurados em Atividade;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Pensões Por Morte de Aposentados;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos  -  Outros Benefícios e Auxílios;Benefícios a Conceder - Contribuições dos Aposentados;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições dos Pensionistas;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Pensões Por Morte de Segurados em Atividade;Benefícios a Conceder - Compensação Previdenciária a Receber;Plano de Amortização do Déficit Atuarial estabelecido em lei;Parcelamentos de Débitos Previdenciários;Valor Atual da Cobertura da Insuficiência Financeira (Outras Receitas);(A) TOTAL DAS RECEITAS COM CONTRIBUIÇÕES E COMPENSAÇÃO PREVIDENCIÁRIA;Benefícios Concedidos -  Encargos;Benefícios Concedidos - Encargos - Aposentadorias Programadas;Benefícios Concedidos - Encargos - Aposentadorias Especiais de Professores;Benefícios Concedidos - Encargos - Outras Aposentadorias Especiais;Benefícios Concedidos - Encargos - Aposentadorias por Invalidez;Benefícios Concedidos - Encargos - Pensões Por Morte;Benefícios Concedidos - Encargos - Compensação Previdenciária a Pagar;Benefícios a Conceder - Encargos;Benefícios a Conceder - Encargos -  Aposentadorias Programadas;Benefícios a Conceder - Encargos -  Aposentadorias Especiais de Professores;Benefícios a Conceder - Encargos -  Outras Aposentadorias Especiais;Benefícios a Conceder - Encargos -  Aposentadorias por Invalidez;Benefícios a Conceder - Encargos -  Pensões Por Morte de Servidores em Atividade;Benefícios a Conceder - Encargos -  Pensões Por Morte de Aposentados;Benefícios a Conceder - Encargos -  Outros Benefícios e Auxílios;Benefícios a Conceder - Encargos -  Compensação Previdenciária a Pagar;Outras Despesas;(B) TOTAL  DAS DESPESAS COM BENEFÍCIOS DO PLANO;(C) INSUFICIÊNCIA OU EXCEDENTE FINANCEIRO (A-B);(D) SALDO ACUMULADO DO EXERCÍCIO  A VALOR ATUAL;(E) RENTABILIDADE ESPERADA (%);(F) Rentabilidade dos Ativos que compõem os Recursos Garantidores;(G) EVOLUÇÃO DOS RECURSOS GARANTIDORES (Informar o valor acumulado na data da avaliação)
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53456982,19
1;2023;5,07;0,95175;20519350,8;0;0;0;0;0;0;235291,8515;1846742,484;1846742,484;0;0;0;0;0;0;2872709,871;2872709,871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1186,080017;0;0;0;4955930,286;3366100,267;1439592,569;791752,5173;0;724601,541;410153,6404;0;16968;16968;0;0;0;0;0;0;0;0;3383068,267;1572862,019;54953953,62;5,07;2790013,101;57819857,31
2;2024;5,07;0,90582;20674238,02;0;0;0;0;0;0;235291,8515;1860680,772;1860680,772;0;0;0;0;0;0;2894396,748;2894396,748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3517,549995;0;0;0;4993886,921;3366100,267;1439592,569;791752,5173;0;724601,541;410153,6404;0;50321,87732;50321,87732;0;0;0;0;0;0;0;0;3416422,145;1577464,776;59248756,45;5,07;3011444,23;62408766,32
3;2025;5,07;0,86211;20835289,22;0;0;0;0;0;0;235291,8515;1875175,441;1875175,441;0;0;0;0;0;0;2916942,772;2916942,772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5114,459976;0;0;0;5032524,524;3366100,267;1439592,569;791752,5173;0;724601,541;410153,6404;0;73167,01038;73167,01038;0;0;0;0;0;0;0;0;3439267,278;1593257,246;63782329,32;5,07;3244902,595;67246926,16
4;2026;5,07;0,82051;20805376,56;0;0;0;0;0;0;235291,8515;1872484,591;1872484,591;0;0;0;0;0;0;2912757,701;2912757,701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18020,1899;0;0;0;5038554,333;3366100,267;1439592,569;791752,5173;0;724601,541;410153,6404;0;257798,6399;257798,6399;0;0;0;0;0;0;0;0;3623898,907;1414655,426;68407665,08;5,07;3481142,186;72142723,77
5;2027;5,07;0,78092;20585144,28;0;0;0;0;0;0;235101,2315;1852660,034;1852660,034;0;0;0;0;0;0;2881920,726;2881920,726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42074,8998;0;0;0;5011756,891;3363373,267;1439592,569;791752,5173;0;724601,541;407426,6404;0;601927,9048;601927,9048;0;0;0;0;0;0;0;0;3965301,172;1046455,719;72959921,97;5,07;3710691,4;76899870,89
6;2028;5,07;0,74324;20320133,34;0;0;0;0;0;0;235016,5115;1828812,524;1828812,524;0;0;0;0;0;0;2844818,488;2844818,488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67857,45991;0;0;0;4976504,983;3362161,267;1439592,569;791752,5173;0;724601,541;406214,6404;0;970777,1797;970777,1797;0;0;0;0;0;0;0;0;4332938,447;643566,5363;77378195,28;5,07;3931452,277;81474889,7
7;2029;5,07;0,70738;19978695,83;0;0;0;0;0;0;235016,5115;1798086,054;1798086,054;0;0;0;0;0;0;2797019,302;2797019,302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97225,77987;0;0;0;4927347,648;3362161,267;1439592,569;791752,5173;0;724601,541;406214,6404;0;1390924,038;1390924,038;0;0;0;0;0;0;0;0;4753085,306;174262,3421;81598159,4;5,07;4139612,009;85788764,05
